"ID"	"All SNP p<5e-3"	"LD Clump p<5e-3"	"LD Clump p<1e-3"	"LD Clump p<5e-4"	"LD Clump p<1e-4"	"LD Clump p<5e-5"	"LD Clump p<1e-5"	"LD Clump p<5e-6"	"LD Clump p<1e-6"	"LD Clump p<5e-7"	"LD Clump p<1e-7"
"HG00155"	-1.91586852069876e-05	0.000979088956708489	0.0031125629949604	0.00170858250276855	0.00138809234507898	6.66666666666666e-05	-0.00510053333333333	-0.000922818791946309	-0.00306294416243655	-0.00362529411764706	-0.00317642276422764
"NA20868"	-0.000291421389251281	0.00116027350813743	0.00338657307415407	0.00204377421140011	0.00324277035236938	0.00138333333333333	-0.00379573333333333	0.000694630872483222	-0.000436040609137056	0.000287058823529412	0.00149756097560976
"HG03024"	-3.11507747128631e-05	0.00131966101694915	0.00268582223821519	0.00247011621472053	0.00251336573511543	0.000988215488215488	-0.00367706666666667	0.00113154362416107	0.000119289340101523	0.000975882352941177	0.0033609756097561
"HG01500"	-0.000115281578110086	0.00153951175406872	0.00370158330334653	0.00275650249031544	0.00326184690157959	0.00263417508417508	-0.0021592	0.00248523489932886	0.00277005076142132	0.00383411764705882	0.00532276422764228
"HG03871"	-0.00122565220157801	0.000675118644067797	0.00232270600935588	0.000751355838406198	0.000709599027946537	-0.000242929292929293	-0.00533173333333333	-0.0012510067114094	-0.00309847715736041	-0.00318294117647059	-0.00208048780487805
"NA18939"	-0.000695816099268215	0.00114085207368064	0.00279341489744512	0.00129916989485335	0.00156318347509113	0.000498148148148148	-0.00457386666666667	-0.000259395973154362	-0.00222081218274112	-0.00183058823529412	0.000243089430894309
"HG01595"	-0.000238977442652159	0.00125282485875706	0.00282691615689097	0.00138804648588821	0.000270352369380316	-0.00111582491582492	-0.00637386666666667	-0.00267852348993289	-0.00486243654822335	-0.00461941176470588	-0.00390894308943089
"NA19331"	0.000266573337575565	0.00126613176630128	0.0031557034904642	0.00192645268400664	0.00219465370595383	0.00109781144781145	-0.0040592	-0.00055738255033557	-0.00258578680203046	-0.00239176470588235	-0.00165447154471545
"HG03057"	0.000156180204256944	0.00114025313594756	0.0027738754947823	0.00169230769230769	0.00206767922235723	0.000377609427609428	-0.00439813333333333	-0.000756375838926175	-0.00205837563451777	-0.00163647058823529	-0.000694308943089431
"NA19734"	0.000382456810155579	0.00159586393942818	0.00331993522849946	0.00152291090204759	0.00126026731470231	-0.000282659932659933	-0.00637306666666667	-0.00213557046979866	-0.00353045685279188	-0.00334411764705882	-0.00460569105691057
"HG01565"	-0.000626454117347588	0.00136397333031981	0.00323987045699892	0.0020699501936912	0.00202478736330498	0.00116111111111111	-0.00393546666666667	0.00109463087248322	0.000751776649746193	0.00134823529411765	0.00104878048780488
"HG03022"	-0.000391100859051861	0.00115536218781783	0.00272151853184599	0.0016781405644715	0.00204009720534629	0.000757070707070707	-0.0048072	-0.000542281879194631	-0.00137005076142132	-0.000484705882352941	0.00203658536585366
"HG00551"	-0.00039419644277578	0.00110652051079218	0.00300280777537797	0.00160182724252492	0.00136245443499392	0.00041043771043771	-0.00426986666666667	0.000338255033557047	-0.000283248730964467	0.000398235294117647	0.00111788617886179
"HG03646"	-0.00024771555838371	0.00125506329113924	0.00332879769618431	0.00221577199778639	0.00302563791008505	0.00218670033670034	-0.0027744	0.000775503355704698	0.000244670050761421	0.00034	0.00192926829268293
"NA20502"	-0.000220097992427858	0.00107969032549729	0.00302749190356243	0.00125390149418926	0.00250279465370595	0.00175606060606061	-0.00248533333333333	0.00201375838926174	0.0020502538071066	0.00253941176470588	0.00354308943089431
"NA18486"	-0.000360288314663951	0.00115528547201809	0.00292116630669546	0.00271821705426357	0.00364841849148419	0.00178718381112985	-0.0037475935828877	-0.000741750841750842	-0.0016484693877551	-0.000440236686390532	0.000230327868852459
"Altai"	-0.000125822665798799	0.00173564761539445	0.00407184703010578	0.00431605929586164	0.000948187919463087	-0.000378148148148148	-0.00542264705882353	-0.00131801470588235	-0.00255251396648045	-0.0018843137254902	-0.000864601769911504
"Denisovan"	0.000346956270119724	0.00234879795396419	0.00456787459283388	0.00528688930117501	0.00189247311827957	-0.000881632653061224	-0.00577581120943953	-0.00144280442804428	-0.00149550561797753	-0.000996078431372549	0.000292035398230089
"Vindija"	-0.000121560329861111	0.00139317048215884	0.00409979658258747	0.00436893143915998	0.00120174496644295	-0.00020037037037037	-0.00495441176470588	-0.000739338235294117	-0.0016731843575419	-0.000855555555555555	-1e-04
